Time Step,Target ID,Radar ID
0,0,0
0,1,0
0,2,0
0,3,0
0,4,0
0,5,2
0,6,2
0,7,2
0,8,2
0,6000,3
0,6001,3
0,6002,3
0,6003,3
0,6004,3
0,6005,3
0,6006,1
0,6007,1
0,6008,1
