id,timestep,x,y,z,vx,vy,vz,target_type,priority
1,0.0,55.016536146314365,9572.094140307703,3722.0590150116964,0.6986664125562182,1.8627039469929394,1.608645096916583,ballistic_missile,1
1,0.1,78.77119417322578,9635.426074505463,3776.8510483068603,0.6986664125562182,1.8627039469929394,1.61153039103423,ballistic_missile,1
1,0.2,102.5258522001372,9698.758008703224,3831.741181602024,0.6986664125562182,1.8627039469929394,1.6144156851518772,ballistic_missile,1
1,0.30000000000000004,126.28051022704861,9762.089942900984,3886.729414897188,0.6986664125562182,1.8627039469929394,1.617300979269524,ballistic_missile,1
1,0.4,150.03516825396002,9825.421877098745,3941.8157481923517,0.6986664125562182,1.8627039469929394,1.6201862733871712,ballistic_missile,1
1,0.5,173.78982628087144,9888.753811296505,3997.0001814875154,0.6986664125562182,1.8627039469929394,1.6230715675048182,ballistic_missile,1
1,0.6000000000000001,197.54448430778285,9952.085745494265,4052.2827147826792,0.6986664125562182,1.8627039469929394,1.6259568616224653,ballistic_missile,1
1,0.7000000000000001,221.29914233469427,10015.417679692026,4107.663348077843,0.6986664125562182,1.8627039469929394,1.6288421557401123,ballistic_missile,1
1,0.8,245.05380036160568,10078.749613889786,4163.1420813730065,0.6986664125562182,1.8627039469929394,1.6317274498577594,ballistic_missile,1
1,0.9,268.8084583885171,10142.081548087546,4218.71891466817,0.6986664125562182,1.8627039469929394,1.6346127439754063,ballistic_missile,1
1,1.0,292.56311641542857,10205.413482285307,4274.393847963334,0.6986664125562182,1.8627039469929394,1.6374980380930535,ballistic_missile,1
1,1.1,316.31777444234,10268.745416483067,4330.1668812584985,0.6986664125562182,1.8627039469929394,1.6403833322107004,ballistic_missile,1
1,1.2000000000000002,340.07243246925145,10332.077350680827,4386.038014553662,0.6986664125562182,1.8627039469929394,1.6432686263283476,ballistic_missile,1
1,1.3,363.8270904961629,10395.409284878588,4442.0072478488255,0.6986664125562182,1.8627039469929394,1.6461539204459945,ballistic_missile,1
1,1.4000000000000001,387.58174852307434,10458.741219076348,4498.074581143989,0.6986664125562182,1.8627039469929394,1.6490392145636417,ballistic_missile,1
1,1.5,411.3364065499858,10522.073153274108,4554.240014439153,0.6986664125562182,1.8627039469929394,1.6519245086812886,ballistic_missile,1
1,1.6,435.0910645768972,10585.405087471869,4610.503547734317,0.6986664125562182,1.8627039469929394,1.6548098027989357,ballistic_missile,1
1,1.7000000000000002,458.84572260380867,10648.737021669629,4666.865181029481,0.6986664125562182,1.8627039469929394,1.6576950969165827,ballistic_missile,1
1,1.8,482.6003806307201,10712.06895586739,4723.324914324645,0.6986664125562182,1.8627039469929394,1.6605803910342298,ballistic_missile,1
1,1.9000000000000001,506.35503865763155,10775.40089006515,4779.8827476198085,0.6986664125562182,1.8627039469929394,1.6634656851518768,ballistic_missile,1
1,2.0,530.109696684543,10838.73282426291,4836.538680914972,0.6986664125562182,1.8627039469929394,1.666350979269524,ballistic_missile,1
1,2.1,553.8643547114544,10902.06475846067,4893.292714210136,0.6986664125562182,1.8627039469929394,1.6692362733871708,ballistic_missile,1
1,2.2,577.6190127383659,10965.39669265843,4950.1448475053,0.6986664125562182,1.8627039469929394,1.672121567504818,ballistic_missile,1
1,2.3000000000000003,601.3736707652773,11028.728626856191,5007.0950808004645,0.6986664125562182,1.8627039469929394,1.675006861622465,ballistic_missile,1
1,2.4000000000000004,625.1283287921888,11092.060561053951,5064.143414095628,0.6986664125562182,1.8627039469929394,1.677892155740112,ballistic_missile,1
1,2.5,648.8829868191002,11155.392495251712,5121.289847390792,0.6986664125562182,1.8627039469929394,1.680777449857759,ballistic_missile,1
1,2.6,672.6376448460117,11218.724429449472,5178.5343806859555,0.6986664125562182,1.8627039469929394,1.6836627439754062,ballistic_missile,1
1,2.7,696.3923028729231,11282.056363647233,5235.8770139811195,0.6986664125562182,1.8627039469929394,1.686548038093053,ballistic_missile,1
1,2.8000000000000003,720.1469608998345,11345.388297844993,5293.317747276284,0.6986664125562182,1.8627039469929394,1.6894333322107002,ballistic_missile,1
1,2.9000000000000004,743.901618926746,11408.720232042753,5350.856580571447,0.6986664125562182,1.8627039469929394,1.6923186263283472,ballistic_missile,1
1,3.0,767.6562769536574,11472.052166240514,5408.493513866611,0.6986664125562182,1.8627039469929394,1.6952039204459943,ballistic_missile,1
1,3.1,791.4109349805689,11535.384100438274,5466.228547161774,0.6986664125562182,1.8627039469929394,1.6980892145636413,ballistic_missile,1
1,3.2,815.1655930074803,11598.716034636034,5524.061680456938,0.6986664125562182,1.8627039469929394,1.7009745086812884,ballistic_missile,1
1,3.3000000000000003,838.9202510343918,11662.047968833795,5581.992913752102,0.6986664125562182,1.8627039469929394,1.7038598027989353,ballistic_missile,1
1,3.4000000000000004,862.6749090613032,11725.379903031555,5640.022247047266,0.6986664125562182,1.8627039469929394,1.7067450969165825,ballistic_missile,1
1,3.5,886.4295670882146,11788.711837229315,5698.14968034243,0.6986664125562182,1.8627039469929394,1.7096303910342294,ballistic_missile,1
1,3.6,910.1842251151261,11852.043771427076,5756.375213637593,0.6986664125562182,1.8627039469929394,1.7125156851518766,ballistic_missile,1
1,3.7,933.9388831420375,11915.375705624836,5814.698846932757,0.6986664125562182,1.8627039469929394,1.7154009792695235,ballistic_missile,1
1,3.8000000000000003,957.693541168949,11978.707639822596,5873.120580227921,0.6986664125562182,1.8627039469929394,1.7182862733871707,ballistic_missile,1
1,3.9000000000000004,981.4481991958604,12042.039574020357,5931.640413523085,0.6986664125562182,1.8627039469929394,1.7211715675048176,ballistic_missile,1
