time,x,y,z,vx,vy,vz,priority,type
0.0,2866.3928289349838,6457.415606971321,5217.070994136656,-109.09572678307617,21.83341554722406,-8.725503501551946,2,cruise
0.1,2855.4825753271316,6459.600171067382,5217.070994136656,-109.10253607852022,21.8456409606108,-8.727048796372635,2,cruise
0.2,2844.5718933914573,6461.7843830298925,5217.070994136656,-109.10681935674185,21.84211962510592,-8.721725704517102,2,cruise
0.30000000000000004,2833.661576899847,6463.969007725014,5217.070994136656,-109.10316491609821,21.84624695122188,-8.717417494487023,2,cruise
0.4,2822.7534020558383,6466.15322600512,5217.070994136656,-109.0817484400895,21.842182801058033,-8.722539921777738,2,cruise
0.5,2811.844413439101,6468.338060264648,5217.070994136656,-109.08988616737197,21.84834259528379,-8.711250198850529,2,cruise
0.6000000000000001,2800.9353108749065,6470.5220543677,5217.070994136656,-109.09102564194852,21.839941030514165,-8.71949501100744,2,cruise
0.7000000000000001,2790.0268589034995,6472.706791724922,5217.070994136656,-109.08451971407027,21.8473735722262,-8.714063468324388,2,cruise
0.8,2779.1177414223853,6474.891761243468,5217.070994136656,-109.09117481114316,21.849695185456866,-8.712896610232981,2,cruise
0.9,2768.208842629868,6477.077602190791,5217.070994136656,-109.08898792517587,21.85840947323635,-8.710660654745235,2,cruise
1.0,2757.300622750913,6479.2635107171845,5217.070994136656,-109.08219878954515,21.859085263931238,-8.707769460758335,2,cruise
1.1,2746.3930341601845,6481.447962087758,5217.070994136656,-109.07588590728676,21.84451370573268,-8.710966172921909,2,cruise
1.2000000000000002,2735.4849751968013,6483.631774580484,5217.070994136656,-109.08058963382969,21.83812492725025,-8.713717595434176,2,cruise
1.3,2724.57841117473,6485.814721242093,5217.070994136656,-109.06564022071734,21.829466616093317,-8.704034811888262,2,cruise
1.4000000000000001,2713.6701642828866,6487.997333018672,5217.070994136656,-109.0824689184335,21.82611776579346,-8.702407281237212,2,cruise
1.5,2702.7625036133745,6490.180656021831,5217.070994136656,-109.0766066951199,21.833230031591388,-8.694473808885213,2,cruise
1.6,2691.8544942187905,6492.363516673197,5217.070994136656,-109.08009394584239,21.82860651366474,-8.685894050072642,2,cruise
