time,x,y,z,vx,vy,vz,priority,type
0.0,5222.297899186015,5719.994085781403,8245.543965239578,-4.961406210443286,-12.920197576741877,-106.34250111513983,1,ballistic
0.1,5221.80175856497,5718.702066023729,8234.958765128064,-4.961406210443286,-12.920197576741877,-105.36150111513983,1,ballistic
0.2,5221.305617943926,5717.410046266054,8224.47166501655,-4.961406210443286,-12.920197576741877,-104.38050111513984,1,ballistic
0.30000000000000004,5220.809477322882,5716.11802650838,8214.082664905036,-4.961406210443286,-12.920197576741877,-103.39950111513984,1,ballistic
0.4,5220.313336701838,5714.826006750706,8203.791764793523,-4.961406210443286,-12.920197576741877,-102.41850111513985,1,ballistic
0.5,5219.817196080794,5713.533986993032,8193.598964682009,-4.961406210443286,-12.920197576741877,-101.43750111513985,1,ballistic
0.6000000000000001,5219.32105545975,5712.241967235358,8183.504264570495,-4.961406210443286,-12.920197576741877,-100.45650111513986,1,ballistic
0.7000000000000001,5218.824914838706,5710.949947477684,8173.507664458982,-4.961406210443286,-12.920197576741877,-99.47550111513986,1,ballistic
0.8,5218.328774217662,5709.65792772001,8163.609164347467,-4.961406210443286,-12.920197576741877,-98.49450111513987,1,ballistic
0.9,5217.832633596618,5708.365907962336,8153.808764235953,-4.961406210443286,-12.920197576741877,-97.51350111513987,1,ballistic
1.0,5217.3364929755735,5707.073888204662,8144.106464124439,-4.961406210443286,-12.920197576741877,-96.53250111513988,1,ballistic
1.1,5216.840352354529,5705.781868446988,8134.5022640129255,-4.961406210443286,-12.920197576741877,-95.55150111513989,1,ballistic
1.2000000000000002,5216.344211733485,5704.4898486893135,8124.996163901412,-4.961406210443286,-12.920197576741877,-94.57050111513989,1,ballistic
1.3,5215.848071112441,5703.197828931639,8115.588163789897,-4.961406210443286,-12.920197576741877,-93.5895011151399,1,ballistic
1.4000000000000001,5215.351930491397,5701.905809173965,8106.278263678383,-4.961406210443286,-12.920197576741877,-92.6085011151399,1,ballistic
1.5,5214.855789870353,5700.613789416291,8097.066463566869,-4.961406210443286,-12.920197576741877,-91.6275011151399,1,ballistic
1.6,5214.359649249309,5699.321769658617,8087.952763455355,-4.961406210443286,-12.920197576741877,-90.64650111513991,1,ballistic
1.7000000000000002,5213.863508628265,5698.029749900943,8078.937163343841,-4.961406210443286,-12.920197576741877,-89.66550111513992,1,ballistic
1.8,5213.367368007221,5696.737730143269,8070.019663232328,-4.961406210443286,-12.920197576741877,-88.68450111513992,1,ballistic
1.9000000000000001,5212.8712273861765,5695.445710385595,8061.200263120813,-4.961406210443286,-12.920197576741877,-87.70350111513993,1,ballistic
2.0,5212.375086765132,5694.153690627921,8052.478963009299,-4.961406210443286,-12.920197576741877,-86.72250111513993,1,ballistic
2.1,5211.878946144088,5692.861670870247,8043.855762897785,-4.961406210443286,-12.920197576741877,-85.74150111513994,1,ballistic
2.2,5211.382805523044,5691.5696511125725,8035.330662786271,-4.961406210443286,-12.920197576741877,-84.76050111513995,1,ballistic
2.3000000000000003,5210.886664902,5690.277631354898,8026.9036626747575,-4.961406210443286,-12.920197576741877,-83.77950111513995,1,ballistic
2.4000000000000004,5210.390524280956,5688.985611597224,8018.574762563244,-4.961406210443286,-12.920197576741877,-82.79850111513996,1,ballistic
2.5,5209.894383659912,5687.69359183955,8010.34396245173,-4.961406210443286,-12.920197576741877,-81.81750111513996,1,ballistic
2.6,5209.398243038868,5686.401572081876,8002.211262340215,-4.961406210443286,-12.920197576741877,-80.83650111513997,1,ballistic
2.7,5208.902102417824,5685.109552324202,7994.176662228701,-4.961406210443286,-12.920197576741877,-79.85550111513997,1,ballistic
2.8000000000000003,5208.40596179678,5683.817532566528,7986.2401621171875,-4.961406210443286,-12.920197576741877,-78.87450111513998,1,ballistic
2.9000000000000004,5207.9098211757355,5682.525512808854,7978.401762005674,-4.961406210443286,-12.920197576741877,-77.89350111513998,1,ballistic
3.0,5207.413680554691,5681.23349305118,7970.661461894159,-4.961406210443286,-12.920197576741877,-76.91250111513999,1,ballistic
3.1,5206.917539933647,5679.941473293506,7963.019261782645,-4.961406210443286,-12.920197576741877,-75.93150111514,1,ballistic
3.2,5206.421399312603,5678.6494535358315,7955.475161671131,-4.961406210443286,-12.920197576741877,-74.95050111514,1,ballistic
3.3000000000000003,5205.925258691559,5677.357433778157,7948.029161559617,-4.961406210443286,-12.920197576741877,-73.96950111514,1,ballistic
3.4000000000000004,5205.429118070515,5676.065414020483,7940.681261448103,-4.961406210443286,-12.920197576741877,-72.98850111514001,1,ballistic
